height,fall,net_fall,flow,power
613.0,77.79,77.14,7.0,4835.6
614.0,78.59,76.84,9.0,5836.88
617.0,81.99,82.165,5.0,3578.64
608.0,72.84,72.415,6.5,4198.04
603.0,68.69,66.54,8.0,4473.85
626.0,91.1,91.55,4.0,3007.52
598.0,64.16,63.765,3.5,1752.73
615.0,79.79,79.14,7.0,4970.4
603.0,69.16,68.765,3.5,1928.37
627.0,91.99,92.165,5.0,3965.92
619.0,83.59,81.84,9.0,6272.01
607.0,72.04,72.365,4.5,2768.76
618.0,83.16,83.765,3.5,2368.61
630.0,94.64,93.19,8.5,6986.26
620.0,85.04,85.365,4.5,3297.39
595.0,60.74,58.84,7.5,3517.58
607.0,71.74,70.84,7.5,4681.39
607.0,71.59,69.84,9.0,5044.92
627.0,92.16,92.765,3.5,2565.78
595.0,60.89,59.665,6.0,2997.65
601.0,66.99,66.165,5.0,2824.88
591.0,56.87,55.415,6.5,2902.4
627.0,91.69,90.54,8.0,6460.56
626.0,90.69,89.54,8.0,6389.89
610.0,74.69,73.54,8.0,5091.79
599.0,65.04,64.365,4.5,2405.69
598.0,63.84,62.415,6.5,3446.41
600.0,65.94,64.92,5.5,3050.81
625.0,89.84,89.415,6.5,5208.36
605.0,70.79,69.14,7.0,4241.34
613.0,77.74,76.84,7.5,5136.98
605.0,70.74,68.84,7.5,4445.09
609.0,73.69,72.54,8.0,4989.41
628.0,92.74,91.84,7.5,6171.51
610.0,74.59,72.84,9.0,5414.45
630.0,96.21,95.935,3.0,2111.73
601.0,66.74,64.84,7.5,4110.86
630.0,94.89,94.665,6.0,5017.36
612.0,76.94,76.92,5.5,3738.51
607.0,72.1,72.55,4.0,2413.55
612.0,76.64,75.19,8.5,5436.88
604.0,69.74,67.84,7.5,4355.92
606.0,71.16,71.765,3.5,2024.51
596.0,61.84,60.415,6.5,3300.12
624.0,88.69,87.54,8.0,6245.18
624.0,88.74,87.84,7.5,5909.73
614.0,79.1,79.55,4.0,2654.46
609.0,74.1,74.55,4.0,2484.96
596.0,61.74,59.84,7.5,3672.29
616.0,80.69,79.54,8.0,5621.0
628.0,94.21,93.935,3.0,2107.66
619.0,83.94,83.92,5.5,4078.4
629.0,93.89,93.665,6.0,4977.84
625.0,89.79,89.14,7.0,5611.23
619.0,83.64,82.19,8.5,6094.87
596.0,61.99,61.165,5.0,2545.24
596.0,61.89,60.665,6.0,3063.55
612.0,77.1,77.55,4.0,2588.19
600.0,65.79,64.14,7.0,3819.82
609.0,73.84,73.415,6.5,4260.53
602.0,67.79,66.14,7.0,3979.15
623.0,87.89,87.665,6.0,4687.82
609.0,73.99,74.165,5.0,3226.05
596.0,62.16,61.765,3.5,1683.63
616.0,80.59,78.84,9.0,6011.02
593.0,58.99,58.165,5.0,2384.41
605.0,70.59,67.84,9.0,4720.58
630.0,94.94,94.92,5.5,4547.82
629.0,95.21,94.935,3.0,2110.13
627.0,93.21,92.935,3.0,2099.1
625.0,90.1,90.55,4.0,2983.61
603.0,68.99,68.165,5.0,2928.11
626.0,91.16,91.765,3.5,2553.33
606.0,70.84,70.415,6.5,4071.73
623.0,88.1,88.55,4.0,2927.26
594.0,60.1,59.55,4.0,1891.3
614.0,79.16,79.765,3.5,2261.61
601.0,67.16,66.765,3.5,1860.57
609.0,74.04,74.365,4.5,2864.24
613.0,77.64,76.19,8.5,5529.53
607.0,71.79,71.14,7.0,4422.22
604.0,69.69,67.54,8.0,4555.88
592.0,57.89,56.665,6.0,2792.27
606.0,70.59,68.84,9.0,4905.55
594.0,59.74,57.84,7.5,3347.5
603.0,68.74,66.84,7.5,4272.72
610.0,74.79,74.14,7.0,4634.29
612.0,78.21,77.935,3.0,1826.08
613.0,78.1,78.55,4.0,2620.27
621.0,87.21,86.935,3.0,2015.06
624.0,89.04,89.365,4.5,3401.42
611.0,75.79,75.14,7.0,4701.28
602.0,68.1,67.55,4.0,2221.16
614.0,80.21,79.935,3.0,1874.52
624.0,88.99,89.165,5.0,3854.35
